temperature,humidity,wind_speed,rainfall,recommended_sensitivity,explanation
31.5,21.6,16.4,2.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
29.6,47.1,13.9,7.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.0,84.9,35.7,85.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
40.0,41.5,9.2,2.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.7,56.1,24.5,15.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.6,84.1,25.5,52.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
30.0,56.0,15.5,8.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
42.2,41.2,9.5,2.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.3,89.5,30.2,77.2,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
30.1,29.3,10.4,2.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
41.1,29.7,9.9,1.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
41.5,42.7,15.5,3.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.7,80.3,32.1,29.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.4,76.8,27.5,29.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
38.0,24.6,6.3,1.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
20.8,73.8,24.9,37.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
30.0,81.6,30.8,36.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
41.6,21.8,11.1,1.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.9,73.0,30.4,32.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
29.4,45.8,16.9,16.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
28.8,52.8,14.8,14.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
21.8,85.1,42.8,67.9,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
17.8,82.3,42.7,73.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
41.8,20.2,5.5,3.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.5,72.2,18.2,24.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
23.1,81.2,42.9,88.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
33.5,44.5,15.3,3.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.9,62.2,15.4,7.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.9,62.4,12.8,7.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
21.3,90.8,33.3,47.7,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
34.0,29.2,5.0,3.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
30.3,41.4,15.1,1.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.5,79.7,25.5,44.9,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.9,86.0,17.2,46.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
19.6,91.8,19.0,44.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
28.0,86.4,25.5,55.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
18.9,93.3,19.2,44.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
18.7,84.0,33.8,40.8,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
27.9,76.6,15.8,23.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
16.3,94.5,40.6,67.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
39.4,24.5,14.7,2.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.3,81.5,28.3,64.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.4,49.0,25.0,11.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.2,87.4,45.3,77.2,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
24.8,75.3,30.3,66.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
26.0,63.2,24.7,13.9,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.0,50.5,22.8,5.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
38.3,33.9,17.0,0.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.4,54.2,18.7,8.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.2,63.4,20.9,16.9,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
24.9,92.7,26.9,35.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
30.8,39.3,9.5,4.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.3,84.5,43.1,84.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
22.6,77.6,15.8,47.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
24.2,46.3,21.0,10.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.1,75.6,20.8,39.7,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
38.6,21.2,10.2,0.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.6,73.4,26.2,44.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
39.2,38.4,8.2,0.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.2,47.2,20.1,11.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
18.3,77.6,34.8,50.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
30.7,40.5,7.6,1.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
16.5,81.1,49.0,97.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
18.2,87.3,17.2,42.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
38.1,25.1,11.8,1.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.7,87.5,15.4,49.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
32.6,27.1,15.3,3.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
18.1,79.7,20.4,62.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
43.0,36.2,8.0,1.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
34.7,41.7,11.9,0.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.3,45.5,13.7,12.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.6,53.7,15.3,14.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
21.5,96.2,42.5,95.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
18.4,83.9,20.6,27.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
19.1,79.6,34.2,50.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
32.3,44.3,16.8,1.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
32.1,33.5,15.4,4.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.3,73.4,34.9,68.8,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
19.1,91.1,49.0,64.7,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
24.5,95.3,47.6,76.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
31.3,67.4,24.0,9.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
41.4,35.3,8.5,2.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
40.3,29.0,13.9,2.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.5,79.3,32.0,44.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
30.5,39.1,5.2,1.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
29.9,88.9,16.3,66.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.2,56.4,13.7,11.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.6,77.8,27.2,57.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.2,90.4,39.0,93.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
21.7,87.9,44.7,82.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
18.6,77.3,23.0,35.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
26.2,60.3,10.8,12.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.4,88.1,17.3,58.9,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
36.2,31.3,7.3,3.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
36.8,26.3,14.0,4.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.5,72.9,24.0,38.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
29.9,57.8,24.2,10.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.4,93.2,33.0,94.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
23.0,77.7,30.4,42.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
32.0,25.1,13.1,1.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.1,80.1,47.7,69.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
26.1,47.0,19.0,8.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.7,90.6,16.0,27.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
42.8,36.7,15.9,1.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.8,61.8,19.2,15.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
36.8,34.5,17.1,0.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.8,46.7,16.4,13.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
40.4,26.9,11.9,2.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.3,88.2,27.6,69.4,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
27.8,85.7,42.2,72.7,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
19.6,82.6,41.3,80.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
23.8,60.2,20.6,19.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.4,91.2,31.0,69.9,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.7,70.3,19.0,34.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
27.1,53.1,10.1,15.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.4,70.7,18.5,36.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
29.0,89.9,27.9,44.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.4,64.6,16.2,16.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
21.8,83.4,19.2,54.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
31.7,52.0,10.5,19.8,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.7,84.9,32.3,57.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
36.2,32.4,8.1,2.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
34.5,22.8,15.2,3.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.2,57.1,17.5,7.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
29.8,48.6,23.1,17.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
40.9,31.5,14.3,2.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.9,91.9,31.7,78.7,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
21.7,84.4,21.2,64.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
34.8,31.0,6.5,0.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
39.3,32.9,7.7,1.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
40.6,27.1,8.2,0.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.4,48.3,17.1,15.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
36.4,24.5,12.7,3.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.4,77.8,31.3,55.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
24.8,89.3,32.6,92.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
26.6,62.1,20.7,12.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.0,98.3,37.8,88.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
28.6,81.3,15.6,43.8,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
23.7,64.2,19.1,6.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.6,78.1,28.0,59.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
28.2,58.7,24.6,10.8,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
27.4,80.9,30.7,47.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
18.9,93.3,26.5,44.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
27.9,74.4,34.1,23.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
27.3,79.5,24.9,53.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
28.6,92.6,27.7,20.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
38.0,29.7,12.5,1.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.7,67.8,14.6,19.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.9,45.2,24.8,11.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
35.5,33.7,5.7,3.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
30.6,66.6,13.5,15.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.8,58.6,19.9,12.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.9,83.1,49.9,86.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
30.2,38.0,11.3,2.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
39.6,30.4,10.9,3.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.8,57.7,18.3,11.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.9,91.2,19.7,45.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.7,69.5,18.5,15.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.7,88.3,34.7,69.2,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
22.8,67.2,11.3,12.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
39.5,40.0,9.1,0.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.6,82.8,24.4,56.7,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.5,70.9,33.5,57.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
37.1,24.2,5.7,5.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
21.4,72.1,25.1,62.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
34.2,41.4,5.2,0.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.8,81.2,31.2,33.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
30.0,66.6,15.1,6.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
37.4,44.8,15.0,1.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
20.5,88.4,21.9,52.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
36.0,27.5,14.7,3.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
29.1,56.9,12.2,18.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
20.8,93.6,49.2,87.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
23.3,99.1,38.6,96.7,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
24.7,47.5,19.8,10.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.1,74.9,21.7,54.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
28.7,65.8,10.2,6.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.2,52.1,12.9,5.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.5,96.7,49.0,85.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
42.8,23.2,13.5,4.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.6,93.9,35.1,78.7,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
29.1,76.9,23.5,65.2,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
31.1,39.4,10.0,1.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
18.4,88.8,39.8,97.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
37.4,23.6,15.0,1.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.3,82.1,31.5,82.9,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
16.9,92.8,48.7,86.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
28.9,84.4,25.3,67.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
27.4,89.6,25.8,20.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
23.8,84.2,33.7,37.9,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
29.5,72.3,25.7,68.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.8,74.4,15.8,39.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
28.8,85.8,22.2,24.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
19.7,74.8,29.4,49.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
38.1,27.7,11.9,4.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
15.5,81.1,45.8,61.7,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
23.5,87.0,32.5,27.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
15.5,82.8,43.1,78.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
40.5,23.3,7.2,0.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.5,74.3,26.8,60.9,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
30.0,50.5,22.1,11.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.9,94.4,26.5,26.9,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
27.2,84.8,21.7,26.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
29.0,58.8,16.6,18.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.3,89.4,15.3,44.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
31.3,36.3,16.5,2.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.3,75.2,27.8,46.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.9,80.8,33.6,80.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
27.4,78.7,15.1,31.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
35.4,39.0,12.0,1.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
21.3,74.8,30.9,54.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
40.1,21.1,13.4,1.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
30.1,64.0,10.6,16.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.8,72.9,32.9,56.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
40.2,28.1,15.1,1.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
28.4,79.4,19.4,43.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
16.9,98.6,39.1,75.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.6,94.4,19.0,26.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
32.0,41.3,11.0,0.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.8,95.8,42.8,84.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
26.1,81.7,47.1,79.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
28.0,77.0,29.6,56.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
28.7,84.8,18.0,48.7,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
15.5,89.4,45.4,61.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
27.9,81.3,19.8,47.9,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
29.4,73.3,20.9,52.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.0,62.6,22.9,16.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
28.5,80.1,30.8,38.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
28.3,71.8,32.9,36.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
24.7,68.7,18.1,16.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.6,81.1,48.9,87.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
35.5,35.5,9.8,0.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
40.6,25.1,17.8,1.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.4,59.5,24.4,8.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.7,62.0,14.2,6.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.3,48.1,20.6,15.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.6,93.6,31.2,67.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.8,67.4,14.3,19.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.0,91.9,25.4,51.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
23.3,53.7,16.7,14.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
43.1,25.8,17.3,3.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
28.5,53.2,18.9,15.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.3,64.7,12.6,8.9,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
18.6,78.8,24.1,28.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.4,94.3,31.8,54.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
30.6,27.9,6.6,1.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
18.4,77.9,21.9,38.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
34.5,43.0,10.3,2.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.2,45.1,21.1,19.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.9,68.6,24.7,13.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
20.7,93.8,44.6,96.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
21.7,80.0,31.8,42.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
39.6,34.6,7.9,4.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
38.1,31.1,13.7,0.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
34.8,35.1,17.3,4.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
42.8,29.2,9.8,1.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.4,81.8,44.6,77.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
21.5,90.1,34.4,41.2,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
19.0,75.2,24.5,63.4,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
24.8,81.8,38.2,96.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
26.5,88.9,17.7,29.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
18.5,90.7,31.7,35.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.3,45.1,13.9,19.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
28.7,80.4,24.8,54.4,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
44.9,21.7,14.7,2.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.2,89.5,43.9,64.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
28.1,74.1,16.2,36.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
32.4,26.8,10.5,4.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
37.9,43.4,11.7,3.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
41.3,33.6,16.3,4.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
28.9,62.2,11.4,13.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.7,57.1,15.1,18.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
32.8,42.4,13.0,4.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.5,63.9,11.7,11.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
29.1,82.0,21.2,38.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.8,95.3,36.8,88.4,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
20.7,91.4,17.8,31.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
31.2,37.3,15.2,0.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
18.5,72.7,30.9,45.7,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
33.8,21.7,13.7,3.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
17.7,98.0,33.7,74.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
27.3,87.0,33.2,80.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
38.6,22.5,12.5,0.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
34.2,42.5,12.0,4.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
37.6,37.7,9.8,2.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
17.4,87.1,37.6,68.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
16.6,82.2,32.7,90.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
18.5,78.2,17.3,34.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
31.8,56.1,18.3,9.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
42.6,31.9,13.8,0.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.1,56.0,19.9,6.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.9,47.5,23.9,19.7,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
27.9,69.8,11.8,17.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.0,76.8,30.8,52.2,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
22.9,82.1,20.6,58.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
37.5,35.7,6.7,0.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
40.2,44.3,10.0,3.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.2,71.9,30.0,58.4,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
23.9,76.5,21.9,63.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
36.5,42.9,10.0,1.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.3,58.9,22.9,9.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
40.7,32.2,6.4,3.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.9,81.9,32.1,45.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
